tempo,potencia
0,1.0400159228159e-07
1,1.0399989717608e-07
2,1.0377840266401e-07
3,1.0373781999226e-07
4,1.0310938362296e-07
5,1.0303001541535e-07
6,1.0199629732387e-07
7,1.0187836388243e-07
8,1.0044244769408e-07
9,1.0028632583049e-07
10,9.8453200590433e-08
11,9.8259476723485e-08
12,9.60366529736e-08
13,9.580618676343e-08
14,9.3204395701544e-08
15,9.2938388843713e-08
16,8.997230402841e-08
17,8.9672368091013e-08
18,8.6361283357638e-08
19,8.6029500189885e-08
20,8.2397896010792e-08
21,8.2036864341022e-08
22,7.8114798276699e-08
23,7.7727660683026e-08
24,7.3550925999079e-08
25,7.3141371475932e-08
26,6.875138120791e-08
27,6.8323620021131e-08
28,6.3766991066494e-08
29,6.3325700402592e-08
30,5.8653532466444e-08
31,5.8203773407957e-08
32,5.3470639308752e-08
33,5.3017747749556e-08
34,4.8280432934245e-08
35,4.782988900901e-08
36,4.3145937297738e-08
37,4.2703219569853e-08
38,3.8129357438623e-08
39,3.7699789315563e-08
40,3.3290311057774e-08
41,3.2878907577577e-08
42,2.8684107566075e-08
43,2.8295430760151e-08
44,2.4360166465749e-08
45,2.3998196957023e-08
46,2.03606576814e-08
47,2.0028689078196e-08
48,1.6719431420276e-08
49,1.6419992527129e-08
50,1.3461285762356e-08
51,1.3196093790905e-08
52,1.0601598239857e-08
53,1.0371544233371e-08
54,8.1463250649007e-09
55,7.951490809836e-09
56,6.0923502270162e-09
57,5.9320541672401e-09
58,4.4281479769848e-09
59,4.3010161874467e-09
60,3.1347074244556e-09
61,3.0387646258273e-09
62,2.1866578303532e-09
63,2.1194327734582e-09
64,1.5535279257188e-09
65,1.5121672461483e-09
66,1.2010720551776e-09
67,1.1824568600114e-09
68,1.0925995856079e-09
69,1.0934595242344e-09
70,1.1902510408693e-09
71,1.2072713532683e-09
72,1.4561738764699e-09
73,1.4860918185786e-09
74,1.853561707278e-09
75,1.8932497397253e-09
76,2.3475322101623e-09
77,2.3940663268975e-09
78,2.9058300244387e-09
79,2.9565425276267e-09
80,3.4993511133071e-09
81,3.5518679621818e-09
82,4.1024937619048e-09
83,4.1547573042889e-09
84,4.6933483912016e-09
85,4.7436268108067e-09
86,5.2537435510715e-09
87,5.3006287295629e-09
88,5.7691688534761e-09
89,5.8115645616787e-09
90,6.2285973613216e-09
91,6.2656997759264e-09
92,6.6242302801675e-09
93,6.655502792198e-09
94,6.9511859721193e-09
95,6.9763301356779e-09
96,7.2071536030885e-09
97,7.2260778913364e-09
98,7.3920294179467e-09
99,7.4048172310676e-09
100,7.5075509610539e-09
101,7.5144290878828e-09
102,7.5569417357292e-09
103,7.5582502237639e-09
104,7.5445759989455e-09
105,7.540740149589e-09
106,7.4756707489689e-09
