tempo,potencia
0,3.7253314182529e-08
1,3.7253180384487e-08
2,3.7206069672357e-08
3,3.7197444525802e-08
4,3.706413825607e-08
5,3.7047336406906e-08
6,3.6829185827971e-08
7,3.6804377089519e-08
8,3.6503576900702e-08
9,3.647100967126e-08
10,3.6090552302291e-08
11,3.6050548422883e-08
12,3.5594162609576e-08
13,3.5547110815689e-08
14,3.5019186567019e-08
15,3.4965534755186e-08
16,3.4371037207622e-08
17,3.4311283770368e-08
18,3.3655658703565e-08
19,3.3590343206576e-08
20,3.2879417142301e-08
21,3.2809110625509e-08
22,3.2048988449012e-08
23,3.1974283628898e-08
24,3.1171246566824e-08
25,3.109274820186e-08
26,3.0253154777617e-08
27,3.0171470433772e-08
28,2.9301662719837e-08
29,2.9217394140888e-08
30,2.8323611260294e-08
31,2.8237346510215e-08
32,2.7325646930847e-08
33,2.7237953435424e-08
34,2.6314147174259e-08
35,2.62255657481e-08
36,2.5295157180378e-08
37,2.5206197086257e-08
38,2.4274338654915e-08
39,2.4185473705576e-08
40,2.3256930465128e-08
41,2.3168596145654e-08
42,2.2247720761765e-08
43,2.2160312323119e-08
44,2.1251029892181e-08
45,2.1164901344927e-08
46,2.0270703198815e-08
47,2.0186167119656e-08
48,1.9310112639774e-08
49,1.9227440692885e-08
50,1.8372166070461e-08
51,1.8291590139523e-08
52,1.745932298122e-08
53,1.7381036806806e-08
54,1.6573615488564e-08
55,1.6497776707392e-08
56,1.5716673418411e-08
57,1.5643405906363e-08
58,1.4889752390738e-08
59,1.4819148818647e-08
60,1.4093763907898e-08
61,1.402588842818e-08
62,1.3329306556386e-08
63,1.3264197548296e-08
64,1.2596697547302e-08
65,1.253437035887e-08
66,1.1896003938915e-08
67,1.1836453573982e-08
68,1.1227073000882e-08
69,1.1170276709429e-08
70,1.0589561290556e-08
71,1.05354810299e-08
72,9.9829621147673e-09
73,9.9315468577975e-09
74,9.4066311438774e-09
75,9.3578190180003e-09
76,8.8598100276229e-09
77,8.8135302749163e-09
78,8.341647933976e-09
79,8.2978226887079e-09
80,7.8512209927701e-09
81,7.8097668771972e-09
82,7.387549675609e-09
83,7.3483792187828e-09
84,6.9496141831129e-09
85,6.9126370705035e-09
86,6.5363679406476e-09
87,6.5014921044812e-09
88,6.1467493252252e-09
89,6.1138818870196e-09
90,5.779691760244e-09
91,5.7487398378635e-09
92,5.4341323221714e-09
93,5.4050037141664e-09
94,5.1090190052196e-09
95,5.0816227650605e-09
96,4.8033167875368e-09
97,4.7775637000512e-09
98,4.5160126364206e-09
99,4.4918156080099e-09
100,4.246119581484e-09
101,4.2233939549098e-09
102,3.9926799743997e-09
103,3.971343777929e-09
104,3.7547680425591e-09
105,3.7347421822917e-09
106,3.5314918323429e-09
107,3.5127002354939e-09
108,3.3219946262337e-09
109,3.3043643421933e-09
110,3.1254559071025e-09
111,3.1089171721726e-09
112,2.9410919329782e-09
113,2.9255782038609e-09
114,2.768155976638e-09
115,2.7536039370236e-09
116,2.6059382765417e-09
117,2.59228782052e-09
118,2.4537657389944e-09
119,2.4409599344865e-09
120,2.3110014259047e-09
121,2.2989864608852e-09
122,2.1770438580321e-09
123,2.1657689719665e-09
124,2.0513261600471e-09
125,2.0407435626897e-09
126,1.9333150709284e-09
127,1.9233798504299e-09
128,1.8225098410393e-09
129,1.8131798631249e-09
130,1.7184410355134e-09
131,1.7096768353883e-09
132,1.6206692622077e-09
133,1.6124339307039e-09
134,1.5287838413277e-09
135,1.5210429067519e-09
136,1.4424014328013e-09
137,1.4351227398282e-09
138,1.361164636494e-09
139,1.3543182233741e-09
140,1.2847405793736e-09
141,1.2782985546394e-09
142,1.2128195026977e-09
143,1.2067559224544e-09
144,1.1451133612079e-09
145,1.1394041080034e-09
146,1.0813544451586e-09
147,1.075977109314e-09
148,1.0212940347959e-09
149,1.0162277989779e-09
150,9.647010956457e-10
151,9.5992662335136e-10
152,9.113610216951e-10
153,9.0686035020032e-10
154,8.6107443227816e-10
155,8.5683087050268e-10
156,8.1365602722548e-10
157,8.0965405884917e-10
158,7.6893350363823e-10
159,7.6515869570953e-10
160,7.2674653651359e-10
161,7.2318545369041e-10
162,6.8694582440002e-10
163,6.8358594888375e-10
164,6.4939220031032e-10
165,6.4622185744711e-10
166,6.139558072763e-10
167,6.1096409673606e-10
168,5.8051533719674e-10
169,5.7769206958493e-10
170,5.4895733101169e-10
171,5.4629296971166e-10
172,5.191755377295e-10
173,5.1666114574476e-10
174,4.9107032943405e-10
175,4.8869752095987e-10
176,4.6454816910187e-10
177,4.6230906554245e-10
178,4.3952112785466e-10
179,4.3740831798364e-10
180,4.1590644815205e-10
181,4.1391295210788e-10
182,3.936261493834e-10
183,3.9174538619261e-10
184,3.7260667233501e-10
185,3.708324306579e-10
186,3.5277855908057e-10
187,3.5110497088386e-10
188,3.3407616495834e-10
189,3.3249768182986e-10
190,3.1643739944892e-10
191,3.1494877128684e-10
192,2.9980349294385e-10
193,2.9839974876392e-10
194,2.8411878659111e-10
195,2.8279521722017e-10
196,2.6933054261024e-10
197,2.6808268504578e-10
198,2.5538877268311e-10
199,2.5421239592168e-10
200,2.4224608224039e-10
201,2.4113717439575e-10
202,2.2985752867446e-10
203,2.2881228522191e-10
204,2.181804917137e-10
205,2.1719530471727e-10
206,2.0717455438836e-10
207,2.062460025831e-10
208,1.9680139320196e-10
209,1.9592623281797e-10
210,1.8702467629373e-10
211,1.8619983252478e-10
212,1.7780996853606e-10
213,1.7703252756723e-10
214,1.6912464265502e-10
215,1.6839184417618e-10
216,1.6093779559314e-10
217,1.6024702573662e-10
218,1.532201694507e-10
219,1.5256895409969e-10
220,1.4594407644583e-10
221,1.4533007486962e-10
222,1.3908332742554e-10
223,1.3850432620492e-10
224,1.3261316353983e-10
225,1.3206707075206e-10
226,1.2651019076003e-10
227,1.2599503039848e-10
228,1.2075231698203e-10
229,1.2026622359046e-10
230,1.1531869150499e-10
231,1.1485990501057e-10
232,1.1018964671837e-10
233,1.0975650745024e-10
234,1.0534664186497e-10
235,1.0493758574841e-10
236,1.007722087761e-10
237,1.0038576269451e-10
238,9.6449899497788e-11
239,9.6084676816329e-11
240,9.2364235745278e-11
241,9.2018931991035e-11
242,8.8500660136701e-11
243,8.8174048832204e-11
244,8.4845489167412e-11
245,8.4536417814225e-11
246,8.1385867893892e-11
247,8.1093254103815e-11
248,7.8109726301233e-11
249,7.7832554073126e-11
250,7.5005737331246e-11
251,7.4743053471509e-11
252,7.2063276549801e-11
253,7.1814187234788e-11
254,6.9272383432242e-11
255,6.9036050910539e-11
256,6.6623724245075e-11
257,6.6399363677943e-11
258,6.410855650076e-11
259,6.3895432938312e-11
260,6.1718694960616e-11
261,6.1516120451813e-11
262,5.9446479158733e-11
263,5.9253809992522e-11
264,5.7284742417474e-11
265,5.7101376492412e-11
266,5.5226782322879e-11
267,5.505215664232e-11
268,5.3266332626005e-11
269,5.3099920916059e-11
270,5.1397536534071e-11
271,5.1238846980687e-11
272,4.9614921353418e-11
273,4.9463494455547e-11
274,4.7913374444459e-11
275,4.7768780979543e-11
276,4.6288120447394e-11
277,4.6149959545587e-11
278,4.4734699736183e-11
279,4.4602597059614e-11
280,4.3248948057345e-11
281,4.3122554080488e-11
282,4.182697730942e-11
283,4.1705965696774e-11
284,4.0465157418509e-11
285,4.0349223495652e-11
286,3.9160099265081e-11
287,3.9048958579275e-11
288,3.7908638617301e-11
289,3.7802025583576e-11
290,3.6707821026315e-11
291,3.6605487655384e-11
292,3.5554887639423e-11
293,3.5456602343499e-11
294,3.4447261887641e-11
295,3.4352808360335e-11
296,3.3382537004914e-11
297,3.3291713171704e-11
298,3.2358464337176e-11
299,3.2271081372701e-11
300,3.137294240044e-11
301,3.1288823809178e-11
302,3.0424006648221e-11
303,3.034298740513e-11
304,2.950981990981e-11
305,2.9431745657689e-11
306,2.8628663462178e-11
307,2.8553389762449e-11
308,2.7778928699604e-11
309,2.7706320333591e-11
310,2.6959109366463e-11
311,2.6889039684115e-11
312,2.6167794320023e-11
313,2.6100144633305e-11
314,2.5403660791471e-11
315,2.5338319809737e-11
316,2.466546811479e-11
317,2.4602331419481e-11
318,2.3952051894511e-11
319,2.3891021450816e-11
320,2.3262318584738e-11
321,2.3203302287813e-11
322,2.2595240453209e-11
323,2.2538151706741e-11
324,2.1949850905491e-11
325,2.1894608230541e-11
326,2.1325240145725e-11
327,2.1271766817769e-11
328,2.0720551151566e-11
329,2.0668774863949e-11
330,2.0134975942265e-11
331,2.0084828494223e-11
332,1.9567752119968e-11
333,1.9519169127526e-11
334,1.9018159665497e-11
335,1.8971080293748e-11
336,1.8485517970961e-11
337,1.8439884686131e-11
338,1.7969183092625e-11
339,1.7924941432598e-11
340,1.7468545208463e-11
341,1.7425643570457e-11
342,1.6983026265813e-11
343,1.6941415709918e-11
344,1.6512077805435e-11
345,1.6471711872947e-11
346,1.605517894921e-11
347,1.6016013494622e-11
348,1.5611834539493e-11
349,1.5573827575164e-11
350,1.5181573418969e-11
351,1.5144684971548e-11
352,1.4763946840577e-11
353,1.4728138818262e-11
354,1.4358526997797e-11
355,1.432376306768e-11
356,1.3964905666241e-11
357,1.3931151140908e-11
358,1.3582692948144e-11
359,1.3549914680892e-11
360,1.3211516111894e-11
361,1.3179682399864e-11
362,1.2851018519362e-11
363,1.2820099013998e-11
364,1.2500858634248e-11
365,1.2470824258508e-11
366,1.2160709105184e-11
367,1.2131531976988e-11
368,1.1830255917791e-11
369,1.1801909279225e-11
370,1.1509197610298e-11
371,1.1481655762092e-11
372,1.1197244547739e-11
373,1.1170482788655e-11
374,1.0894118250119e-11
375,1.0868112820807e-11
376,1.0599550770286e-11
377,1.0574278801304e-11
378,1.0313284117568e-11
379,1.0288723581198e-11
380,1.0035069723529e-11
381,1.0011199389107e-11
382,9.7646679464958e-12
383,9.7414673389635e-12
384,9.5018476117489e-12
385,9.4792969731914e-12
386,9.2463855845272e-12
387,9.2244658384181e-12
388,8.9980663732059e-12
389,8.9767590911788e-12
390,8.7566817602322e-12
391,8.7359691311637e-12
392,8.5220304585818e-12
393,8.5018952597951e-12
394,8.2939177916827e-12
