tempo,potencia
0,3.7253314182529e-08
1,3.7253420902439e-08
2,3.7237710862996e-08
3,3.7234833193774e-08
4,3.7190300591562e-08
5,3.7184680153372e-08
6,3.7111551169635e-08
7,3.7103216450947e-08
8,3.7001860578755e-08
9,3.6990853552978e-08
10,3.6861778950857e-08
11,3.6848154551024e-08
12,3.6692001723636e-08
13,3.667582716377e-08
14,3.649336111425e-08
15,3.6474715072797e-08
16,3.626681610273e-08
17,3.6245787786176e-08
18,3.6013441144368e-08
19,3.5990129251209e-08
20,3.5734413850618e-08
21,3.5708925457261e-08
22,3.5431001890468e-08
23,3.5403451281341e-08
24,3.5104549368741e-08
25,3.5075056832937e-08
26,3.4756462934798e-08
27,3.4725153550936e-08
28,3.4388197865217e-08
29,3.4355200295111e-08
30,3.4001244348322e-08
31,3.3966689658371e-08
32,3.3597114177776e-08
33,3.3561134705054e-08
34,3.3177328038273e-08
35,3.3140056315996e-08
36,3.2743403539728e-08
37,3.2704971294471e-08
38,3.229684412852e-08
39,3.2257381358989e-08
40,3.1839128976324e-08
41,3.1798763121205e-08
42,3.1371703919888e-08
43,3.1330559119852e-08
44,3.0895973499318e-08
45,3.085416995624e-08
46,3.0413294118816e-08
47,3.0370947553193e-08
48,2.9924968332433e-08
49,2.9882189538336e-08
50,2.9432240238554e-08
51,2.9389134733837e-08
52,2.8936291950403e-08
53,2.8892959718682e-08
54,2.8438241095654e-08
55,2.8394776415286e-08
56,2.7939139285999e-08
57,2.7895630640448e-08
58,2.7439971486952e-08
59,2.7396501549971e-08
60,2.694165620896e-08
61,2.6898301897336e-08
62,2.6445046432785e-08
63,2.6401879018717e-08
64,2.5950931175036e-08
65,2.5908016449594e-08
66,2.5460037593626e-08
67,2.5417436072376e-08
68,2.497303352795e-08
69,2.4930800689329e-08
70,2.4490530364987e-08
71,2.4448716911838e-08
72,2.401308612068e-08
73,2.3971738255333e-08
74,2.3541208626259e-08
75,2.3500368329567e-08
76,2.3075358712029e-08
77,2.3035064017274e-08
78,2.2615953286947e-08
79,2.2576238540125e-08
80,2.2163368221233e-08
81,2.2124264320159e-08
82,2.1717940951379e-08
83,2.167947555724e-08
84,2.1279972742106e-08
85,2.1242170458613e-08
86,2.0849730557621e-08
87,2.0812613074492e-08
88,2.0427448514448e-08
89,2.0391034713814e-08
90,2.001332890927e-08
91,1.9977634935429e-08
92,1.9607542836709e-08
93,1.9572582131581e-08
94,1.9210230432828e-08
95,1.9176013741112e-08
96,1.8821500799255e-08
97,1.8788036148936e-08
98,1.8441431679276e-08
99,1.8408724344345e-08
100,1.8070068970231e-08
101,1.8038121423472e-08
102,1.7707426165342e-08
103,1.7676238029543e-08
104,1.7353483822409e-08
105,1.7323051828563e-08
106,1.7008189156366e-08
107,1.6978507117122e-08
108,1.6671455847712e-08
109,1.664251465372e-08
110,1.634316414958e-08
111,1.6314951795379e-08
112,1.6023161363329e-08
113,1.5995663008162e-08
114,1.5711262736729e-08
115,1.5684460804155e-08
116,1.540725282091e-08
117,1.5381127139495e-08
118,1.5110887303257e-08
119,1.5085415288909e-08
120,1.4821895314132e-08
121,1.4797052193002e-08
122,1.4539982186704e-08
123,1.4515741256018e-08
124,1.4264832631991e-08
125,1.4241165554736e-08
126,1.3996114276076e-08
127,1.3972991404321e-08
128,1.3733481493975e-08
129,1.3710872214576e-08
130,1.3476579465031e-08
131,1.3454452560873e-08
132,1.3225048368263e-08
133,1.3203372387674e-08
134,1.297852763282e-08
135,1.2957271259755e-08
136,1.2736660158431e-08
137,1.2715792576074e-08
138,1.2499096423343e-08
139,1.2478587664142e-08
140,1.2265498402338e-08
141,1.224531967805e-08
142,1.2035543224616e-08
143,1.2015667230641e-08
144,1.1808926510255e-08
145,1.1789327699385e-08
146,1.1585365334061e-08
147,1.1566020155691e-08
148,1.1364600776554e-08
149,1.1345487878378e-08
150,1.1146400033103e-08
151,1.112750042331e-08
152,1.0930558063437e-08
153,1.0911855232368e-08
154,1.0716898774629e-08
155,1.0698378775805e-08
156,1.0505275740812e-08
157,1.0486927232051e-08
158,1.0295572472143e-08
159,1.027738671828e-08
160,1.0087702253747e-08
161,1.0069673093085e-08
162,9.8816075823136e-09
163,9.8637313595448e-09
164,9.6772592337892e-09
165,9.6595347025014e-09
166,9.4746550000167e-09
167,9.4570831982487e-09
168,9.2738181353709e-09
169,9.2564022379336e-09
170,9.0747955564351e-09
171,9.0575407077704e-09
172,8.8776558386328e-09
173,8.8605689700785e-09
174,8.6824870536125e-09
175,8.665576688824e-09
176,8.4893944901696e-09
177,8.4726705423742e-09
178,8.2984982997304e-09
179,8.2819718642761e-09
180,8.1099311050338e-09
181,8.0936142504646e-09
182,7.9238356077675e-09
183,7.9077411684007e-09
184,7.7403622276629e-09
185,7.724503600333e-09
186,7.559666802051e-09
187,7.5440577493765e-09
188,7.3819083712295e-09
189,7.3665628334297e-09
190,7.2072470712894e-09
191,7.1921789882832e-09
192,7.0358421523779e-09
193,7.0210652975263e-09
194,6.8678501368027e-09
195,6.8533779634249e-09
196,6.7034231279717e-09
197,6.6892686294063e-09
198,6.5427072779534e-09
199,6.528882861711e-09
200,6.3858414184767e-09
201,6.3723587947814e-09
202,6.2329558574821e-09
203,6.2198259422474e-09
204,6.0841713409121e-09
205,6.0714041730303e-09
206,5.939598177291e-09
207,5.927202849933e-09
208,5.7993355207869e-09
209,5.7873201262489e-09
210,5.663470806883e-09
211,5.6518423944128e-09
212,5.5320793334797e-09
213,5.5208438793988e-09
214,5.4052239792059e-09
215,5.3943863685677e-09
216,5.2829550499161e-09
217,5.2725190688898e-09
218,5.1653102437605e-09
219,5.1552785818757e-09
220,5.0523147248387e-09
221,5.0426889862097e-09
222,4.9439812952388e-09
223,4.9347620178802e-09
224,4.8403106552233e-09
225,4.831497337563e-09
226,4.7412917414158e-09
227,4.7328828751284e-09
228,4.6469021330534e-09
229,4.6388952413651e-09
230,4.5571085166849e-09
231,4.5495001973292e-09
232,4.4718672000835e-09
233,4.464653172122e-09
234,4.3911246666052e-09
235,4.3842998203729e-09
236,4.3148181617292e-09
237,4.3083766112121e-09
238,4.242876304061e-09
239,4.2368114410595e-09
240,4.175219713649e-09
241,4.1695242631261e-09
242,4.1117616510449e-09
243,4.1064277271226e-09
244,4.0524086611234e-09
245,4.0474278232288e-09
246,3.9970612162588e-09
247,3.9924245249765e-09
248,3.9456143540261e-09
249,3.9413124262632e-09
250,3.8979583051461e-09
251,3.8939813682613e-09
252,3.853979107928e-09
253,3.8503170525255e-09
254,3.8135592059687e-09
255,3.8102016370937e-09
256,3.7765780263508e-09
257,3.7735143128715e-09
258,3.7429125360273e-09
259,3.7401318580191e-09
260,3.7124377745048e-09
261,3.7099291684938e-09
262,3.6850273613232e-09
263,3.6827797632748e-09
264,3.6605539771868e-09
