tempo,potencia
0,3.7253416830317e-08
1,3.7253056054175e-08
2,3.7205945135705e-08
3,3.7197319951492e-08
4,3.706401310452e-08
5,3.704721118325e-08
6,3.6829059681841e-08
7,3.6804250840142e-08
8,3.6503449428041e-08
9,3.6470882069439e-08
10,3.6090423242707e-08
11,3.6050419215741e-08
12,3.5594031802888e-08
13,3.5546979853328e-08
14,3.5019053988167e-08
15,3.4965402026217e-08
16,3.4370903009322e-08
17,3.4311149445313e-08
18,3.3655523268151e-08
19,3.359020769057e-08
20,3.2879281144088e-08
21,3.2808974621641e-08
22,3.2048852928311e-08
23,3.1974148213284e-08
24,3.1171113016368e-08
25,3.1092614911167e-08
26,3.0253025241584e-08
27,3.0171341365327e-08
28,2.9301539904874e-08
29,2.9217272064683e-08
30,2.832349865686e-08
31,2.8237234991026e-08
32,2.732554894184e-08
33,2.7237856961884e-08
34,2.6314069246262e-08
35,2.6225489863884e-08
36,2.5295105930934e-08
37,2.5206148516633e-08
38,2.4274321987166e-08
39,2.4185460470461e-08
40,2.3256957659001e-08
41,2.3168627648176e-08
42,2.2247802528827e-08
43,2.2160399400633e-08
44,2.1251178379496e-08
45,2.1165056267689e-08
46,2.0270931925938e-08
47,2.0186403521216e-08
48,1.9310436352565e-08
49,1.9227773415893e-08
50,1.8372600496062e-08
51,1.8292034981404e-08
52,1.7459884470455e-08
53,1.73816101518e-08
54,1.6574320535442e-08
55,1.6498495035013e-08
56,1.5717538051341e-08
57,1.5644285171373e-08
58,1.4890791436493e-08
59,1.4820203704238e-08
60,1.4094990137123e-08
61,1.4027131481846e-08
62,1.3330729728099e-08
63,1.3265638218672e-08
64,1.2598323379033e-08
65,1.2536013960943e-08
66,1.1897833038104e-08
67,1.1838300219086e-08
68,1.1229099801367e-08
69,1.1172320244484e-08
70,1.0591773044604e-08
71,1.0537708036841e-08
72,9.9853379955391e-09
73,9.9339357683333e-09
74,9.409141514807e-09
75,9.3603394001928e-09
76,8.8624159336457e-09
77,8.8161423462003e-09
78,8.3443008645326e-09
79,8.300477104693e-09
80,7.8538629581877e-09
81,7.8124048369732e-09
82,7.390113627067e-09
83,7.350932915813e-09
84,6.9520247924959e-09
85,6.9150305041038e-09
86,6.5385427409112e-09
87,6.5036422510871e-09
88,6.1486001953436e-09
89,6.115700213858e-09
90,5.7811267223435e-09
91,5.7501341252366e-09
92,5.4350576030612e-09
93,5.4058801372971e-09
94,5.1093413011171e-09
95,5.0818881732509e-09
96,4.8029456601332e-09
97,4.7771280205212e-09
98,4.5148629611281e-09
99,4.4905942947955e-09
100,4.2441139651255e-09
101,4.2213103999509e-09
102,3.9897510598674e-09
103,3.9683316020771e-09
104,3.7508606219849e-09
105,3.7307473282997e-09
106,3.5265646977653e-09
107,3.5076827927662e-09
108,3.316022097111e-09
109,3.2983000436707e-09
110,3.1184289866824e-09
111,3.1017985165471e-09
112,2.9330190597529e-09
113,2.9174151706394e-09
114,2.7590633521448e-09
115,2.7444242770243e-09
116,2.5958697658646e-09
117,2.5821369194504e-09
118,2.4427823547897e-09
119,2.4299002616382e-09
120,2.2991804200228e-09
121,2.287096628097e-09
122,2.1644774563505e-09
123,2.1531424393823e-09
124,2.0381199856112e-09
125,2.0274870371301e-09
126,1.9195863077018e-09
127,1.9096114291934e-09
128,1.8083851953922e-09
129,1.7990269806561e-09
130,1.7040545550635e-09
131,1.6952740725366e-09
132,1.606160071893e-09
133,1.5979207463773e-09
134,1.5142938548512e-09
135,1.5065613498655e-09
136,1.4280730941112e-09
137,1.4208151958401e-09
138,1.3471387410724e-09
139,1.3403252446945e-09
140,1.271154219115e-09
141,1.2647568181351e-09
142,1.1998041714236e-09
143,1.1937963504815e-09
144,1.132793250684e-09
145,1.1271501821977e-09
146,1.0698449541648e-09
147,1.064543399056e-09
148,1.0107005066015e-09
149,1.0057187192684e-09
150,9.5511779238045e-10
151,9.5043543001505e-10
152,9.0287033776515e-10
153,8.9846837404004e-10
154,8.5374634327619e-10
155,8.496069863936e-10
156,8.0754776582921e-10
157,8.036543808708e-10
158,7.6408944982461e-10
159,7.6042648531845e-10
160,7.2319830605943e-10
161,7.1975122465021e-10
162,6.8471253708055e-10
163,6.8146775017734e-10
164,6.4848090740995e-10
165,6.454257136634e-10
166,6.1436205693511e-10
167,6.1148458439092e-10
168,5.822238556648e-10
169,5.7951300743686e-10
170,5.5194279799298e-10
171,5.4938820128747e-10
172,5.2340343458607e-10
173,5.2099539291708e-10
174,4.9649784000597e-10
175,4.9422728843395e-10
176,4.7112511419744e-10
177,4.6898357743224e-10
178,4.4719091600113e-10
179,4.4517046920988e-10
180,4.2460702689761e-10
181,4.2270025906294e-10
182,4.0329094324198e-10
183,4.0149092292323e-10
184,3.8316549530952e-10
185,3.8146573866257e-10
186,3.6415849153875e-10
187,3.6255293245755e-10
188,3.4620238642751e-10
189,3.4468534867525e-10
190,3.2923397060914e-10
191,3.2780014181619e-10
192,3.1319408170759e-10
193,3.1183848911419e-10
194,2.9802733464248e-10
195,2.9674532247767e-10
196,2.8368187012636e-10
197,2.8246907851361e-10
198,2.7010912016593e-10
199,2.6896146545668e-10
200,2.5726358944729e-10
201,2.5617724588849e-10
202,2.4510265155075e-10
203,2.4407403419599e-10
204,2.3358635900424e-10
205,2.3261210778605e-10
206,2.2267726624503e-10
207,2.2175423113024e-10
208,2.1234026461763e-10
209,2.1146549177158e-10
210,2.0254242859074e-10
211,2.0171314748259e-10
212,1.93252872429e-10
213,1.9246648381343e-10
214,1.8444261660453e-10
215,1.8369668131966e-10
216,1.7608446328071e-10
217,1.7537669180669e-10
218,1.681528802445e-10
219,1.6748112297004e-10
220,1.6062389270571e-10
221,1.5998613085381e-10
222,1.5347498242064e-10
223,1.5286931958826e-10
224,1.4668499363423e-10
225,1.4610964790338e-10
226,1.402340453698e-10
227,1.3968734195029e-10
228,1.3410344962712e-10
229,1.335838139945e-10
230,1.2827563508058e-10
231,1.27781586575e-10
232,1.227340758967e-10
233,1.222642217507e-10
234,1.1746322531728e-10
235,1.1701625508283e-10
236,1.1244845367871e-10
237,1.1202313402611e-10
238,1.076759905611e-10
239,1.0727116042402e-10
240,1.0313287078224e-10
241,1.0274743682467e-10
242,9.8806883971509e-11
243,9.8439816355019e-11
244,9.4686527477098e-11
245,9.433685590744e-11
246,9.076096237762e-11
247,9.0427772411411e-11
248,8.7019972384896e-11
249,8.6702401978714e-11
250,8.3453925439904e-11
251,8.3151161725111e-11
252,8.0053737817687e-11
253,7.97650140857e-11
254,7.6810840569988e-11
255,7.6535433453409e-11
256,7.3717148146378e-11
257,7.3454374982958e-11
258,7.0765029045834e-11
259,7.0514245412483e-11
260,6.7947278361095e-11
261,6.7707875766817e-11
262,6.5257092087762e-11
263,6.5028495814579e-11
264,6.2688043079077e-11
265,6.2469710160952e-11
266,6.0234058535626e-11
267,6.002547586607e-11
268,5.7889398926955e-11
269,5.7690081487007e-11
270,5.5648638249227e-11
271,5.5458127447288e-11
272,5.3506645529785e-11
273,5.3324507646264e-11
274,5.1458567495586e-11
275,5.1284392225149e-11
276,4.9499812328313e-11
277,4.9333211413339e-11
278,4.7626034434242e-11
279,4.7466640383533e-11
280,4.5833120161949e-11
281,4.5680585048953e-11
282,4.4117174405523e-11
283,4.3971168740935e-11
284,4.2474508035251e-11
285,4.2334719709091e-11
286,4.0901626101712e-11
287,4.0767759390418e-11
288,3.9395216762903e-11
289,3.9266991397054e-11
290,3.7952140887482e-11
291,3.7829291176414e-11
292,3.6569422290376e-11
293,3.6451696299923e-11
294,3.5244238559981e-11
295,3.5131397339854e-11
296,3.397391243896e-11
297,3.3865729296738e-11
298,3.2755903723159e-11
299,3.2652163541781e-11
300,3.1587801645606e-11
301,3.1488300241657e-11
302,3.0467317714736e-11
303,3.0371861234904e-11
304,2.9392278978047e-11
305,2.9300683331409e-11
306,2.8360621684354e-11
307,2.8272712008093e-11
308,2.7370385319531e-11
309,2.7285995476151e-11
310,2.6419706992346e-11
311,2.6338679096293e-11
312,2.550681614852e-11
313,2.5429000120416e-11
314,2.463002959257e-11
315,2.4555282739385e-11
316,2.3787746798365e-11
317,2.3715933417819e-11
318,2.297844549055e-11
319,2.2909436498372e-11
320,2.2200677480158e-11
321,2.2134350058718e-11
322,2.1453064738844e-11
323,2.1389302005857e-11
324,2.0734295697125e-11
325,2.0672986393267e-11
326,2.0043121753031e-11
327,1.9984159947202e-11
328,1.9378353978369e-11
329,1.9321638789664e-11
330,1.8738860010687e-11
331,1.8684295345981e-11
332,1.8123561119747e-11
333,1.8071055425955e-11
334,1.7531429438046e-11
335,1.7480895468274e-11
336,1.6961485345584e-11
337,1.6912839938207e-11
338,1.6412794999697e-11
339,1.6365958869695e-11
340,1.5884468001362e-11
341,1.583936554317e-11
342,1.5375655189898e-11
343,1.5332214291046e-11
344,1.4885546558529e-11
345,1.4843698423505e-11
346,1.4413369283703e-11
347,1.4373048267388e-11
348,1.3958385861535e-11
349,1.3919529311675e-11
350,1.3519892345147e-11
351,1.348244045335e-11
352,1.3097216677043e-11
353,1.3061112337762e-11
354,1.2689717111051e-11
355,1.2654905788159e-11
356,1.2296780718658e-11
357,1.2263210319109e-11
358,1.1917821974928e-11
359,1.1885442729164e-11
360,1.1552281419442e-11
361,1.1521045768113e-11
362,1.1199624388001e-11
363,1.1169486874664e-11
364,1.085933981109e-11
365,1.0830256980541e-11
366,1.0530939075319e-11
367,1.0502869377242e-11
368,1.0213954944323e-11
369,1.018685864197e-11
370,9.9079405357742e-12
371,9.8817796193655e-12
372,9.6124683513859e-12
373,9.587206456004e-12
374,9.327129356957e-12
375,9.3027316846496e-12
376,9.0515321096923e-12
377,9.0279653555878e-12
378,8.785301930189e-12
379,8.7625342123725e-12
380,8.5280801166339e-12
381,8.5060809095956e-12
382,8.2795231989041e-12
383,8.2582632703556e-12
384,8.0393022303935e-12
385,8.0187535812838e-12
386,7.8071021155164e-12
387,7.7872379230471e-12
388,7.582620970957e-12
389,7.5634155344607e-12
390,7.365569518847e-12
391,7.3469982083675e-12
392,7.1556705101563e-12
393,7.1377097175795e-12
394,6.9526581766782e-12
395,6.935285269275e-12
396,6.7562777100879e-12
397,6.7394709863603e-12
398,6.5662847666352e-12
399,6.5500234143217e-12
400,6.3824449961147e-12
401,6.3667090522514e-12
402,6.2045335938355e-12
403,6.1893039067627e-12
404,6.0323348743825e-12
405,6.0175930676002e-12
406,5.8656418660269e-12
407,5.85137030379e-12
408,5.7042559247139e-12
409,5.6904376792876e-12
410,5.5479863666076e-12
411,5.534605187099e-12
412,5.3966501182351e-12
413,5.3836904009038e-12
414,5.250071383322e-12
415,5.2375181433146e-12
416,5.1080813254619e-12
417,5.0959201698828e-12
418,4.9705177658123e-12
419,4.9587348680621e-12
420,4.8372248950458e-12
421,4.8258069703769e-12
422,4.7080529988402e-12
423,4.6969872810519e-12
424,4.5828581962149e-12
425,4.5721324154382e-12
426,4.4615021900719e-12
427,4.4511045515925e-12
428,4.3438520293245e-12
429,4.333771193381e-12
430,4.2297798820368e-12
431,4.2200049445559e-12
432,4.1191628190228e-12
433,4.1096832932393e-12
434,4.0118826073869e-12
435,4.0026884063102e-12
436,3.9078255135131e-12
437,3.8989069331876e-12
438,3.8068821150367e-12
439,3.798229818572e-12
440,3.7089471213587e-12
441,3.7005521236751e-12
442,3.613919202282e-12
443,3.6057728555531e-12
444,3.5217008243759e-12
445,3.5137948041213e-12
446,3.4321980946911e-12
447,3.4245243864942e-12
448,3.345320611471e-12
449,3.3378714982898e-12
450,3.2609813215195e-12
451,3.2537493715627e-12
452,3.1790963839083e-12
453,3.1720744390483e-12
454,3.0995850397161e-12
455,3.0920989390442e-12
456,3.0845247109284e-12
457,3.0748286401975e-12
458,3.0636214672731e-12
459,3.0493845432132e-12
460,3.0380704093797e-12
461,3.0223694875146e-12
462,3.0154177936188e-12
463,3.0082121649615e-12
464,2.9979340503653e-12
465,2.9854301420258e-12
466,2.9697487249307e-12
467,2.9533921223577e-12
468,2.9382295366264e-12
469,2.9219861041773e-12
470,2.9078249727233e-12
471,2.8975229657087e-12
472,2.8889957860275e-12
473,2.8794759466044e-12
474,2.8593803311079e-12
475,2.8509404436363e-12
476,2.8444436471225e-12
477,2.8320433649299e-12
478,2.8207590918153e-12
479,2.8012489740956e-12
480,2.7868076698765e-12
481,2.769232686211e-12
482,2.7492484016284e-12
483,2.7371921138076e-12
484,2.719992666508e-12
485,2.7039882431165e-12
486,2.6863133865064e-12
487,2.6699188009268e-12
488,2.6601408896999e-12
489,2.6468393305594e-12
490,2.6322271008877e-12
491,2.6207119578732e-12
492,2.6042681562432e-12
493,2.5879820088782e-12
494,2.5757930340598e-12
495,2.5572416821312e-12
496,2.5417564847627e-12
497,2.5255270430359e-12
498,2.5144036482374e-12
499,2.5048421105766e-12
500,2.4933250006151e-12
501,2.4871681580462e-12
502,2.4718120441377e-12
503,2.4656446347878e-12
504,2.4561780533879e-12
505,2.4428262375168e-12
506,2.4299130020608e-12
507,2.4226415591442e-12
508,2.4062385126336e-12
509,2.3997129167011e-12
510,2.392105143576e-12
511,2.3833810524974e-12
512,2.3691667885911e-12
513,2.3538203526434e-12
514,2.3424246642675e-12
515,2.3296406857423e-12
516,2.317284237141e-12
517,2.3120746828703e-12
518,2.2957504950756e-12
519,2.2828106437189e-12
520,2.2667257157714e-12
521,2.2559908837622e-12
522,2.2456384722222e-12
523,2.2301883819798e-12
524,2.2170808525946e-12
525,2.2044530952584e-12
526,2.1915417288631e-12
527,2.1820424799519e-12
528,2.172456043133e-12
529,2.1628668011483e-12
530,2.1483105276926e-12
531,2.1395888999794e-12
532,2.1344024802312e-12
533,2.1208752803285e-12
534,2.108780352258e-12
535,2.0976220770411e-12
536,2.093070212027e-12
537,2.0825121260131e-12
538,2.068169229326e-12
539,2.0607508386543e-12
540,2.0529939514963e-12
541,2.0433463925961e-12
542,2.0374948584102e-12
543,2.0255763359328e-12
544,2.0178775253428e-12
545,2.0101747049148e-12
546,1.9992987023828e-12
547,1.9911714807386e-12
548,1.986652547717e-12
549,1.973768525053e-12
550,1.9661312323939e-12
551,1.9543924720712e-12
552,1.9415867552931e-12
553,1.929719251363e-12
554,1.9211001220185e-12
555,1.9169625820759e-12
556,1.9073829689639e-12
557,1.9021229177113e-12
558,1.8919484471449e-12
559,1.8800634550095e-12
560,1.8686570710503e-12
561,1.8614461051366e-12
562,1.8512907938438e-12
563,1.8461152436387e-12
564,1.8346573299912e-12
565,1.8222405458852e-12
566,1.8173446869173e-12
567,1.8067219416359e-12
568,1.7981115931404e-12
569,1.7899217904078e-12
570,1.7795341303892e-12
571,1.7678103923177e-12
572,1.7631978154984e-12
573,1.7518655901227e-12
574,1.7429709029296e-12
575,1.737432130509e-12
576,1.7259182283768e-12
577,1.7155260987101e-12
578,1.7075904825127e-12
579,1.7035431637129e-12
