tempo,potencia
0,3.7253416830317e-08
1,3.7253296571215e-08
2,3.7237586205933e-08
3,3.7234708477103e-08
4,3.7190174955591e-08
5,3.7184554401808e-08
6,3.7111423923393e-08
7,3.7103089035498e-08
8,3.7001731125984e-08
9,3.6990723881342e-08
10,3.6861646751125e-08
11,3.684802208883e-08
12,3.6691866320156e-08
13,3.6675691463135e-08
14,3.6493222171416e-08
15,3.647457581085e-08
16,3.6266673456435e-08
17,3.6245644816646e-08
18,3.6013294868638e-08
19,3.5989982672667e-08
20,3.5734264344627e-08
21,3.5708775702124e-08
22,3.5430849990544e-08
23,3.5403299230285e-08
24,3.510439649038e-08
25,3.5074903959777e-08
26,3.475631125002e-08
27,3.4725002103319e-08
28,3.4388050520597e-08
29,3.4355053516332e-08
30,3.400110572863e-08
31,3.3966552055193e-08
32,3.3596990219155e-08
33,3.3561012365341e-08
34,3.3177226593133e-08
35,3.313995727813e-08
36,3.2743334792756e-08
37,3.270490596767e-08
38,3.2296821059288e-08
39,3.2257362989603e-08
40,3.1839167858702e-08
41,3.179880829465e-08
42,3.1371824841712e-08
43,3.1330688281012e-08
44,3.0896200877607e-08
45,3.0854407922814e-08
46,3.0413657176264e-08
47,3.0371323986847e-08
48,2.9925501490348e-08
49,2.9882739327873e-08
50,2.9432983370262e-08
51,2.9389898233423e-08
52,2.8937290428172e-08
53,2.8893982773268e-08
54,2.8439545554275e-08
55,2.8396110095581e-08
56,2.7940805018449e-08
57,2.7897330602339e-08
58,2.7442057383265e-08
59,2.7398626929356e-08
60,2.6944223149853e-08
61,2.6900913652207e-08
62,2.6448155055945e-08
63,2.640503763727e-08
64,2.5954638945312e-08
65,2.5911778957147e-08
66,2.5464395129418e-08
67,2.5421852291573e-08
68,2.4978080165071e-08
69,2.4935908737826e-08
70,2.449628897592e-08
71,2.4454537958908e-08
72,2.4019557250493e-08
73,2.3978270602698e-08
74,2.354836405485e-08
75,2.3507580930536e-08
76,2.3083134603651e-08
77,2.3042889599626e-08
78,2.2624243139253e-08
79,2.2584566549365e-08
80,2.2172015874277e-08
81,2.2132933947522e-08
82,2.1726733958745e-08
83,2.1688269157826e-08
84,2.128863643829e-08
85,2.1250807696011e-08
86,2.0857923175033e-08
87,2.0820746146243e-08
88,2.0434757707482e-08
89,2.0398245014729e-08
90,2.0019270030067e-08
91,1.9983431501457e-08
92,1.9611559276923e-08
93,1.9576402175046e-08
94,1.9211696297969e-08
95,1.9177225538954e-08
96,1.8819726118466e-08
97,1.8785944480575e-08
98,1.843567027594e-08
99,1.8402578597248e-08
100,1.8059529030678e-08
101,1.802712639565e-08
102,1.7691283448061e-08
103,1.7659567362907e-08
104,1.7330897352605e-08
105,1.7299863909526e-08
106,1.6978319155071e-08
107,1.6947963185527e-08
108,1.6633483555091e-08
109,1.6603798772383e-08
110,1.6296313122713e-08
111,1.6267292254187e-08
112,1.5966719762968e-08
113,1.5938354672255e-08
114,1.5644606068129e-08
115,1.561688786782e-08
116,1.5329866562713e-08
117,1.5302785717945e-08
118,1.5022388846545e-08
119,1.4995935269957e-08
120,1.4722054641372e-08
121,1.4696217779925e-08
122,1.442874074657e-08
123,1.4403509660703e-08
124,1.4142319909479e-08
125,1.4117683345083e-08
126,1.3862661615837e-08
127,1.3838608069534e-08
128,1.3589632805662e-08
129,1.3566150583816e-08
130,1.3323098519763e-08
131,1.3300175791715e-08
132,1.3062922481885e-08
133,1.3040547327777e-08
134,1.2808967621284e-08
135,1.2787128074929e-08
136,1.2561096540277e-08
137,1.2539780627448e-08
138,1.231917193113e-08
139,1.2298367703617e-08
140,1.2083056946342e-08
141,1.2062752512143e-08
142,1.1852615526204e-08
143,1.1832799076162e-08
144,1.1627712687226e-08
145,1.1608372518427e-08
146,1.1408214774823e-08
147,1.1389339311025e-08
148,1.1193989683404e-08
149,1.1175567492769e-08
150,1.0984907046803e-08
151,1.0966926857183e-08
152,1.078083840176e-08
153,1.0763289113742e-08
154,1.0581657326987e-08
155,1.0564528024938e-08
156,1.0387239560125e-08
157,1.0370519521412e-08
158,1.0197463094767e-08
159,1.0181141797327e-08
160,1.0012208259488e-08
161,9.9962753879256e-09
162,9.8313577807318e-09
163,9.8158032310907e-09
164,9.6547968311922e-09
165,9.6396107145392e-09
166,9.4824130652355e-09
167,9.4675857101726e-09
168,9.3140966427452e-09
169,9.2996185969897e-09
170,9.1497402426696e-09
171,9.135602273779e-09
172,8.9892390674334e-09
173,8.9754321627996e-09
174,8.83249083927e-09
175,8.8190062054445e-09
176,8.6793957894374e-09
177,8.6662248508851e-09
178,8.5298566411902e-09
179,8.5169910385387e-09
180,8.3837785873001e-09
181,8.3712101751431e-09
182,8.2410692628413e-09
183,8.2287901071667e-09
184,8.1016387138895e-09
185,8.0896410891778e-09
186,7.9653993627186e-09
187,7.9536757487634e-09
188,7.8322659700228e-09
189,7.8208090485101e-09
190,7.7021555946391e-09
191,7.6909582455398e-09
192,7.5749875511946e-09
193,7.564042848981e-09
194,7.4506833660629e-09
195,7.4399845758083e-09
196,7.3291667319692e-09
197,7.3187073053363e-09
198,7.210363461552e-09
199,7.2001370327034e-09
200,7.0942014401512e-09
201,7.0842018216117e-09
202,6.980610578066e-09
203,6.9708317565426e-09
204,6.8695227624974e-09
205,6.859958894681e-09
206,6.7608718093631e-09
207,6.7515172177324e-09
208,6.6545934151544e-09
209,6.645442583785e-09
210,6.5506251089804e-09
211,6.5416726793804e-09
212,6.4489062049276e-09
213,6.4401469719062e-09
214,6.3493777548488e-09
215,6.3408066624235e-09
216,6.2519825016754e-09
217,6.2435946390335e-09
218,6.156664833338e-09
219,6.1484554308514e-09
220,6.0633707373667e-09
221,6.0553351626693e-09
222,5.9720477562304e-09
223,5.9641815103638e-09
224,5.8826449434661e-09
225,5.8749436570966e-09
226,5.7951128206403e-09
227,5.7875722503481e-09
228,5.7094033351755e-09
229,5.7020193598208e-09
230,5.6254698190699e-09
231,5.6182384362406e-09
232,5.5432669485305e-09
233,5.5361842710673e-09
234,5.4627507045341e-09
235,5.4558129571375e-09
236,5.3838783343281e-09
237,5.3770818502492e-09
238,5.3066083138757e-09
239,5.29994953169e-09
240,5.2309003112482e-09
241,5.2243757717072e-09
242,5.1567151509633e-09
243,5.1503214939334e-09
244,5.0840147792651e-09
245,5.0777487407469e-09
246,5.0127622303386e-09
247,5.0066206395666e-09
248,4.9429215934515e-09
249,4.9369013700738e-09
250,4.8744579810097e-09
251,4.8685561323471e-09
252,4.8073374975166e-09
253,4.801551115901e-09
254,4.7415272094207e-09
255,4.7358534696082e-09
256,4.6769951158373e-09
257,4.6714312724995e-09
258,4.6137101201273e-09
259,4.6082535054122e-09
260,4.551642002317e-09
261,4.5462900234863e-09
262,4.4907613923415e-09
263,4.485511529478e-09
264,4.4310397440924e-09
265,4.425889547876e-09
266,4.372449310253e-09
267,4.367396399802e-09
268,4.3149631179007e-09
269,4.3100051786853e-09
270,4.2585549448594e-09
271,4.2536897266727e-09
272,4.2031992967807e-09
273,4.1984246117776e-09
274,4.1488713849373e-09
275,4.1441851057317e-09
