tempo,potencia
0,6.2735259072812e-08
1,6.2736507116207e-08
2,6.2899472145839e-08
3,6.2929306554927e-08
4,6.3390335910884e-08
5,6.3448431995548e-08
6,6.4202425388449e-08
7,6.4288129413559e-08
8,6.5326379230354e-08
9,6.5438675254529e-08
10,6.6748451318559e-08
11,6.6885915775407e-08
12,6.8449944029435e-08
13,6.8610692545369e-08
14,7.0406581029184e-08
15,7.0588213128427e-08
16,7.258788930351e-08
17,7.2787437518523e-08
18,7.4956668207994e-08
19,7.5170558608324e-08
20,7.7468626715568e-08
21,7.7692657913297e-08
22,8.0072267910577e-08
23,8.0301615131477e-08
24,8.2709091561354e-08
25,8.2938341357651e-08
26,8.5314171110415e-08
27,8.5537390736648e-08
28,8.7817140977353e-08
29,8.8027984413036e-08
30,9.0143604583798e-08
31,9.0335454772496e-08
32,9.2216944484387e-08
33,9.2383088724659e-08
34,9.3960485447809e-08
35,9.4094318216229e-08
36,9.5299931673921e-08
37,9.5395176701369e-08
38,9.6165973105306e-08
39,9.6216914487335e-08
40,9.6496935433454e-08
41,9.6498646131446e-08
42,9.6241335968877e-08
43,9.618989140379e-08
44,9.5360204475051e-08
45,9.5252869118951e-08
46,9.3829034987852e-08
47,9.3664410932932e-08
48,9.1639251290507e-08
49,9.1417379655175e-08
50,8.8799093941145e-08
51,8.852150251906e-08
52,8.5333868638536e-08
53,8.5003562212301e-08
54,8.1285531773467e-08
55,8.0906924763044e-08
56,7.6711626446294e-08
57,7.6290420795038e-08
58,7.1683618201295e-08
59,7.122663237878e-08
60,6.6284711638936e-08
61,6.5799669153859e-08
62,6.0607254788774e-08
63,6.0102542498889e-08
64,5.4749856158786e-08
65,5.4234263840204e-08
66,4.8814348938534e-08
67,4.8296802001963e-08
68,4.2902737862956e-08
69,4.2392034804957e-08
70,3.7114257338465e-08
71,3.6618822572708e-08
72,3.1542655728654e-08
73,3.1070316972715e-08
74,2.6273801711199e-08
75,2.5831599258003e-08
76,2.1383686079579e-08
77,2.0977719207059e-08
78,1.6936868048466e-08
79,1.6572181676363e-08
80,1.2985390705997e-08
81,1.2665903325408e-08
82,9.5681672011552e-09
83,9.2966391995396e-09
84,6.710818730243e-09
85,6.4888585958567e-09
86,4.4259282298869e-09
87,4.2540328030078e-09
88,2.7136603926514e-09
89,2.5912843641329e-09
90,1.5626893750106e-09
91,1.4883386168768e-09
92,9.5137026981854e-10
93,9.2271329942516e-10
94,8.4908874994401e-10
95,8.6308064101531e-10
96,1.2177247803808e-09
97,1.27073809528e-09
98,2.0131703676261e-09
99,2.1011281419516e-09
100,3.1868473487756e-09
101,3.3053537575918e-09
102,4.687178603026e-09
103,4.8316436254864e-09
104,6.4609742197806e-09
105,6.626729348492e-09
106,8.4547025713471e-09
107,8.6371053436474e-09
108,1.0615624488057e-08
109,1.0810150315651e-08
110,1.289277648326e-08
111,1.3095096899826e-08
112,1.5237795978828e-08
113,1.544384299365e-08
114,1.7605587576963e-08
115,1.7811604307927e-08
116,1.9954834524737e-08
117,2.0157412680017e-08
118,2.2248363601073e-08
119,2.2444468686805e-08
120,2.4453374749821e-08
121,2.4640360106324e-08
122,2.6541548953476e-08
123,2.6717159870373e-08
124,2.8489049183143e-08
125,2.8651418425182e-08
126,3.0276429880501e-08
127,3.0424065979475e-08
128,3.1888470443581e-08
129,3.2020240088321e-08
130,3.3313947716996e-08
131,3.3429053513216e-08
132,3.454536164066e-08
133,3.4643316424141e-08
134,3.5578627092185e-08
135,3.565922587164e-08
136,3.6412743658364e-08
137,3.6476034145187e-08
138,3.7049453669609e-08
139,3.7095706226959e-08
140,3.7492897393584e-08
141,3.7522575112119e-08
142,3.7749272863518e-08
143,3.776300234963e-08
144,3.7826506454009e-08
145,3.7825049801317e-08
146,3.7733939042416e-08
147,3.7718167351282e-08
148,3.7482031428119e-08
149,3.7452900141853e-08
150,3.708209163731e-08
151,3.7040617878747e-08
152,3.6546025823536e-08
153,3.6493267841787e-08
154,3.588611368434e-08
155,3.5823152458629e-08
156,3.5114808648462e-08
157,3.504273164359e-08
158,3.4244562539276e-08
159,3.4164449564736e-08
160,3.3287673979823e-08
161,3.3200585070987e-08
162,3.2256159462551e-08
163,3.2163124676884e-08
164,3.1161645751979e-08
165,3.1063656754677e-08
166,3.0015282109921e-08
167,2.9913285411206e-08
168,2.8827670719644e-08
169,2.8722562418688e-08
170,2.7608813627355e-08
171,2.7501435515229e-08
172,2.6368074506874e-08
173,2.6259211381477e-08
174,2.5114153577614e-08
175,2.5004531627226e-08
176,2.3855074059166e-08
177,2.3745360177109e-08
178,2.2598178620959e-08
179,2.2488980521106e-08
180,2.1350134376576e-08
181,2.1242001388048e-08
182,2.0116945074335e-08
183,2.0010369502967e-08
184,1.8903969244203e-08
185,1.8799388197947e-08
186,1.7715943172658e-08
187,1.7613740757959e-08
188,1.6557007688597e-08
189,1.6457517494357e-08
190,1.5430737852921e-08
191,1.5334245647954e-08
192,1.4340174749729e-08
193,1.4246921328758e-08
194,1.3287858677375e-08
195,1.3198042798929e-08
196,1.227586313168e-08
197,1.2189644499119e-08
198,1.1305829060883e-08
199,1.1223331305199e-08
200,1.0378998952215e-08
201,1.0300312581742e-08
202,9.4962503830241e-09
203,9.4214356713474e-09
204,8.6581287353147e-09
205,8.5872185240134e-09
206,7.8648788316038e-09
207,7.7978812292826e-09
208,7.1164753023296e-09
209,7.0533762657253e-09
210,6.412651541154e-09
211,6.3534173277126e-09
212,5.7529271446492e-09
213,5.6975066293593e-09
214,5.1366337676729e-09
215,5.0849606195593e-09
216,4.562939355425e-09
217,4.5149340716397e-09
218,4.0308707384469e-09
219,3.9864425357504e-09
